vertexes,edges,density,time
79,1232,0.2,15.07241939999536
80,1264,0.2,15.722843033335229
81,1296,0.2,16.174381966660196
82,1328,0.2,16.885358366667447
83,1361,0.2,17.68607786666981
84,1394,0.2,18.312337399995233
85,1428,0.2,18.706919399998394
86,1462,0.2,19.471241666667538
87,1496,0.2,20.119454266668413
88,1531,0.2,20.82644443333379
89,1566,0.2,21.48443466666663
90,1602,0.2,22.45193479999917
91,1638,0.2,23.129579066667816
92,1674,0.2,23.711662466667843
93,1711,0.2,24.78017493333482
94,1748,0.2,25.55761813333201
95,1786,0.2,26.489015166669105
96,1824,0.2,27.082727766670207
97,1862,0.2,27.82988476666617
98,1901,0.2,29.320052800003776
99,1940,0.2,29.6689416666671
100,1980,0.2,32.71679166666578
1,0,0.25,0.0006513666619412106
2,0,0.25,0.0011361333330720906
3,1,0.25,0.002116699999987759
4,3,0.25,0.003679133337186613
5,5,0.25,0.006134733337148646
6,7,0.25,0.009404233336833082
7,10,0.25,0.01415823333559274
8,14,0.25,0.019969433337034086
9,18,0.25,0.029141666668882255
10,22,0.25,0.03901799999918391
11,27,0.25,0.052523633333597296
12,33,0.25,0.07086113333609016
13,39,0.25,0.08878066666776856
14,45,0.25,0.10341939999894596
15,52,0.25,0.12987353333831683
16,60,0.25,0.15965419999967403
17,68,0.25,0.1974042666669599
18,76,0.25,0.22701376666418582
19,85,0.25,0.27599999999855146
20,95,0.25,0.31610970000125843
21,105,0.25,0.3604056666678919
22,115,0.25,0.4112180000011752
23,126,0.25,0.48974166666842694
24,138,0.25,0.6864818666646973
25,150,0.25,0.6093417000026117
26,162,0.25,0.6844194666683734
27,175,0.25,0.8567138666658517
28,189,0.25,0.8836931000009448
29,203,0.25,0.951779200000639
30,217,0.25,1.1241625333383354
31,232,0.25,1.1515791333332952
32,248,0.25,1.4199360666708571
33,264,0.25,1.3955043000000462
34,280,0.25,1.5137264000022317
35,297,0.25,1.6458027666658381
36,315,0.25,1.7469527666662543
37,333,0.25,1.9323390000001457
38,351,0.25,2.101122299998792
39,370,0.25,2.2365582333321754
40,390,0.25,2.428656933333665
41,410,0.25,2.621837466665511
42,430,0.25,2.825905566669462
43,451,0.25,3.01680706666995
44,473,0.25,3.2341875333334733
45,495,0.25,3.476587566668362
46,517,0.25,3.6784513666674457
47,540,0.25,3.928723566664871
48,564,0.25,4.20355146666509
49,588,0.25,4.4921597000012525
50,612,0.25,4.681986133329967
51,637,0.25,5.092438999999634
52,663,0.25,5.305861033331401
53,689,0.25,5.585575033331717
54,715,0.25,5.870727766664648
55,742,0.25,6.340981899997662
56,770,0.25,6.605588833331429
57,798,0.25,6.923218200000747
58,826,0.25,7.3524360333361
59,855,0.25,7.7416889333344825
60,885,0.25,8.243344466667205
61,915,0.25,8.594773633329092
62,945,0.25,8.995501300001743
63,976,0.25,9.51453749999871
64,1008,0.25,9.955420766665194
65,1040,0.25,10.432090333333122
66,1072,0.25,10.77143190000148
67,1105,0.25,11.575134733333433
68,1139,0.25,11.88301943333272
69,1173,0.25,12.489212566664301
70,1207,0.25,13.199020833334885
71,1242,0.25,13.582048566663238
72,1278,0.25,14.17717916666561
73,1314,0.25,14.69763616666834
74,1350,0.25,15.393027833329143
75,1387,0.25,16.008087466665682
76,1425,0.25,16.722784800001023
77,1463,0.25,17.666984733333873
78,1501,0.25,18.248636099996435
79,1540,0.25,19.124529166667987
80,1580,0.25,19.599366599997364
81,1620,0.25,20.221516733331175
82,1660,0.25,21.21012513333085
83,1701,0.25,21.97852636666653
84,1743,0.25,23.674981899998215
85,1785,0.25,23.51599169999948
86,1827,0.25,24.528248533335766
87,1870,0.25,25.351445766665393
88,1914,0.25,26.307774966665914
89,1958,0.25,26.967972166667664
90,2002,0.25,28.37206953333388
91,2047,0.25,28.86702780000216
92,2093,0.25,29.988212500001055
93,2139,0.25,30.94315963333069
94,2185,0.25,32.606548633339116
95,2232,0.25,33.297868166666454
96,2280,0.25,34.16955269999752
97,2328,0.25,35.47298196666399
98,2376,0.25,36.92785559999834
99,2425,0.25,37.714968033335104
100,2475,0.25,38.75849716666361
1,0,0.3,0.0006139000011747461
2,0,0.3,0.001155466664689205
3,1,0.3,0.001983333332115459
4,3,0.3,0.0039042666647522615
5,6,0.3,0.006187333336053295
6,9,0.3,0.010062600001485103
7,12,0.3,0.019347200003494436
8,16,0.3,0.023197166664582863
9,21,0.3,0.03402076667005834
10,27,0.3,0.04577370000049541
11,33,0.3,0.060366699997871365
12,39,0.3,0.08243889999638061
13,46,0.3,0.10110689999767904
14,54,0.3,0.1296708333342167
15,63,0.3,0.14921810000127303
16,72,0.3,0.18759293333232563
17,81,0.3,0.23114596666384082
18,91,0.3,0.27436806666685243
19,102,0.3,0.3159179999992527
20,114,0.3,0.37240129999910704
21,126,0.3,0.42460559999237074
22,138,0.3,0.49157763333103804
23,151,0.3,0.5529430666636396
24,165,0.3,0.6357138666667576
25,180,0.3,0.7205055666626473
26,195,0.3,0.787215166666518
27,210,0.3,0.8997263999968178
28,226,0.3,1.0008235999966548
29,243,0.3,1.1139653666693523
30,261,0.3,1.2130069000003612
31,279,0.3,1.3590167000027502
32,297,0.3,1.4973292666676723
33,316,0.3,1.6163152999970027
34,336,0.3,1.770508233330285
35,357,0.3,1.9340501666628522
36,378,0.3,2.1148748666651804
37,399,0.3,2.2833680999999237
38,421,0.3,2.4446403000013106
39,444,0.3,2.684290333335563
40,468,0.3,2.8809388999974317
41,492,0.3,3.118165233333533
42,516,0.3,3.382484666666604
43,541,0.3,3.6167055666642987
44,567,0.3,3.8817278666651114
45,594,0.3,4.139648566669507
46,621,0.3,4.4196707999949085
47,648,0.3,4.724680600000397
48,676,0.3,5.0881777333302125
49,705,0.3,5.389672299999877
50,735,0.3,5.74349859999946
51,765,0.3,5.97133323333594
52,795,0.3,6.339031966665705
53,826,0.3,6.793743033333044
54,858,0.3,7.187898566669067
55,891,0.3,7.454137433332638
56,924,0.3,7.970305600006593
57,957,0.3,8.428722166667058
58,991,0.3,8.841084699998683
59,1026,0.3,9.463994500003045
60,1062,0.3,9.963309866664835
61,1098,0.3,10.342593133333366
62,1134,0.3,10.997731966663574
63,1171,0.3,11.429562533328408
64,1209,0.3,12.076987499998873
65,1248,0.3,12.478906966666159
66,1287,0.3,13.208437466665638
67,1326,0.3,13.874177799997748
68,1366,0.3,14.601815299999998
69,1407,0.3,15.058427833335486
70,1449,0.3,15.736563866668499
71,1491,0.3,16.51415150000067
72,1533,0.3,17.215141666669826
73,1576,0.3,18.000201233332785
74,1620,0.3,18.631593133337294
75,1665,0.3,19.626900066667
76,1710,0.3,20.360855566666675
77,1755,0.3,21.426727866665374
78,1801,0.3,22.05809993333503
79,1848,0.3,22.920134699998584
80,1896,0.3,23.65557913333589
81,1944,0.3,24.813036000000466
82,1992,0.3,25.690963833334497
83,2041,0.3,27.02028469999978
84,2091,0.3,27.72028463333432
85,2142,0.3,28.840148533331938
86,2193,0.3,29.92926673333424
87,2244,0.3,30.92462363332989
88,2296,0.3,32.11208610000066
89,2349,0.3,33.048191633332635
90,2403,0.3,34.300101433331065
91,2457,0.3,35.489672399997595
92,2511,0.3,36.650215299998955
93,2566,0.3,37.68070979999815
94,2622,0.3,39.063586133331306
95,2679,0.3,40.49664306666519
