vertexes,edges,density,time
34,280,0.25,5.768833366679853
35,297,0.25,6.303247166662611
36,315,0.25,6.831470933358712
37,333,0.25,7.397038900004797
38,351,0.25,8.003784733326333
39,370,0.25,8.628786133340327
40,390,0.25,9.283620833351355
41,410,0.25,10.024329166700833
42,430,0.25,10.722862399961741
43,451,0.25,11.454056866652232
44,473,0.25,12.297120833325911
45,495,0.25,13.118444400007926
46,517,0.25,13.992702733329073
47,540,0.25,14.966968033331796
48,564,0.25,15.999659833338834
49,588,0.25,16.898841733336667
50,612,0.25,18.03572223334413
51,637,0.25,19.17380406666022
52,663,0.25,20.285417933321998
53,689,0.25,21.429104133335386
54,715,0.25,23.512551333305964
55,742,0.25,25.363052699973803
56,770,0.25,25.835048599985083
57,798,0.25,26.602990233338158
58,826,0.25,27.86850566666696
59,855,0.25,29.438840233350067
60,885,0.25,30.87827786669095
61,915,0.25,32.861963966676434
62,945,0.25,34.04108886670656
63,976,0.25,35.59104579999257
64,1008,0.25,37.44227369999559
65,1040,0.25,39.202647200007355
66,1072,0.25,40.99752080000295
67,1105,0.25,42.779151566674045
68,1139,0.25,44.69077510000261
69,1173,0.25,46.76621796666799
70,1207,0.25,48.90058753333051
71,1242,0.25,50.9230069999982
72,1278,0.25,52.747802766657514
73,1314,0.25,55.42834310001581
74,1350,0.25,57.63308756665234
75,1387,0.25,59.92276106668063
76,1425,0.25,62.422475099977724
77,1463,0.25,65.1377694999989
78,1501,0.25,67.60244869999497
79,1540,0.25,70.07696519997353
80,1580,0.25,72.5832208999994
81,1620,0.25,75.56191103334793
82,1660,0.25,78.06068196665971
83,1701,0.25,80.82380149998396
84,1743,0.25,84.19728896664462
85,1785,0.25,87.17843056668546
86,1827,0.25,90.31177083331083
87,1870,0.25,93.29411389998465
88,1914,0.25,96.70498203330074
89,1958,0.25,100.27337926665798
90,2002,0.25,104.20582646665177
91,2047,0.25,107.25434726666663
92,2093,0.25,110.82791669997125
93,2139,0.25,114.37405413332726
94,2185,0.25,118.0162348666651
95,2232,0.25,121.49722076665815
96,2280,0.25,125.41499579998951
97,2328,0.25,129.65726523334524
98,2376,0.25,133.0700832666556
99,2425,0.25,137.4829208999851
100,2475,0.25,141.48799589999422
1,0,0.3,0.0010361333579567145
2,0,0.3,0.0028137999985726006
3,1,0.3,0.006779233346302742
4,3,0.3,0.01337076663882423
5,6,0.3,0.02422213331859287
6,9,0.3,0.0385721333411008
7,12,0.3,0.06179573336642837
8,16,0.3,0.08850696665376745
9,21,0.3,0.1262374000134514
10,27,0.3,0.1743999333333098
11,33,0.3,0.22398339998138303
12,39,0.3,0.2891818999917935
13,46,0.3,0.35816953332717577
