vertexes,density,time,probability,result
22,0.2,0.337559666666228,0,0.0
23,0.2,0.37637916666639626,0,0.0
24,0.2,0.43226803333311636,0,0.0
25,0.2,0.5012318666665294,0,0.0
26,0.2,0.5568930333331205,0,0.0
27,0.2,0.6142960000001807,0,0.0
28,0.2,0.6906777666666623,0,0.0
29,0.2,0.7492000666667072,0,0.0
30,0.2,0.8298486666670138,0,0.0
31,0.2,0.9314597333330473,0,0.0
32,0.2,1.0168444333331195,0,0.0
33,0.2,1.1102417333335761,0,0.0
34,0.2,1.223473633333209,0,0.0
35,0.2,1.335059666666183,0,0.0
36,0.2,1.4595889000004785,0,0.0
37,0.2,1.5701805666665791,0,0.0
38,0.2,1.690349866667044,0,0.0
39,0.2,1.8118721666662434,0,0.0
40,0.2,2.0068707333329883,0,0.0
41,0.2,2.140543100000277,0,0.0
42,0.2,2.3026723000004523,0,0.0
43,0.2,2.427502766666597,0,0.0
44,0.2,2.618405566666837,0,0.0
45,0.2,2.7905708999996413,0,0.0
46,0.2,2.910016600000039,0,0.0
47,0.2,3.2366098333339957,0,0.0
48,0.2,3.361785966666749,0,0.0
49,0.2,3.6020540666669376,0,0.0
50,0.2,3.857556800000239,0,0.0
1,0.25,0.0006402666670624058,0,0.0
2,0.25,0.0011735999998781683,0,0.0
3,0.25,0.001962433333938899,0,0.0
4,0.25,0.0035542666671754355,0,0.0
5,0.25,0.005991733332777471,0,0.0
6,0.25,0.009773499999946958,0,0.0
7,0.25,0.014981866666611646,0,0.0
8,0.25,0.021248633333451988,0,0.0
9,0.25,0.0270817666663703,0,0.0
10,0.25,0.038080633333711,0,0.0
11,0.25,0.055284700000986696,0,0.0
12,0.25,0.06841939999956044,0,0.0
13,0.25,0.0885221333330577,0,0.0
14,0.25,0.11159576666663895,0,0.0
15,0.25,0.13860256666688997,0,0.0
16,0.25,0.16284723333382564,0,0.0
17,0.25,0.1898138666666919,0,0.0
18,0.25,0.2299582666665856,0,0.0
19,0.25,0.2667290666668265,0,0.0
20,0.25,0.31073059999992364,0,0.0
21,0.25,0.35909993333334,0,0.0
22,0.25,0.40629016666642315,0,0.0
23,0.25,0.4653722000000471,0,0.0
24,0.25,0.5495248000000194,0,0.0
25,0.25,0.6189944666664596,0,0.0
26,0.25,0.6769138999999313,0,0.0
27,0.25,0.7720666666661676,0,0.0
28,0.25,0.8711819666661569,0,0.0
29,0.25,0.9579804333336975,0,0.0
30,0.25,1.0521265333331087,0,0.0
31,0.25,1.134611133333389,0,0.0
32,0.25,1.2762736666667014,0,0.0
33,0.25,1.3772556333330261,0,0.0
34,0.25,1.5302111333336181,0,0.0
35,0.25,1.6667027000001629,0,0.0
36,0.25,1.7596125999999639,0,0.0
37,0.25,1.9358945333331452,0,0.0
38,0.25,2.099712399999613,0,0.0
39,0.25,2.2705735999997736,0,0.0
40,0.25,2.462315299999792,0,0.0
41,0.25,2.640129233333018,0,0.0
42,0.25,2.7765152666668533,0,0.0
43,0.25,2.9405709666670297,0,0.0
44,0.25,3.2382473333327035,0,0.0
45,0.25,3.4202249666667703,0,0.0
46,0.25,3.6544110333329862,0,0.0
47,0.25,3.859677700000219,0,0.0
48,0.25,4.1756596999995566,0,0.0
49,0.25,4.489731999999809,0,0.0
50,0.25,4.7360152333332906,0,0.0
1,0.3,0.0006083333326264059,0,0.0
2,0.3,0.0011208666666817635,0,0.0
3,0.3,0.002451499999741221,0,0.0
4,0.3,0.0037095999998607945,0,0.0
5,0.3,0.00671106666617997,0,0.0
6,0.3,0.012024966666383344,0,0.0
7,0.3,0.016580600000300667,0,0.0
8,0.3,0.023931933333543043,0,0.0
9,0.3,0.036200000000382225,0,0.0
10,0.3,0.04760843333322384,0,0.0
11,0.3,0.05981943333305632,0,0.0
12,0.3,0.0810375333334908,0,0.0
13,0.3,0.10297080000055321,0,0.0
14,0.3,0.13144166666686866,0,0.0
15,0.3,0.15324576666711684,0,0.0
16,0.3,0.1910305333338395,0,0.0
17,0.3,0.22863896666649453,0,0.0
18,0.3,0.2675167666663943,0,0.0
19,0.3,0.3115806333332453,0,0.0
20,0.3,0.3614097000002185,0,0.0
21,0.3,0.4153472333337997,0,0.0
22,0.3,0.48353480000038473,0,0.0
23,0.3,0.551991733333305,0,0.0
24,0.3,0.643037466666622,0,0.0
25,0.3,0.7109110999999521,0,0.0
26,0.3,0.8009722333328048,0,0.0
27,0.3,0.8891846666671199,0,0.0
28,0.3,1.00190553333294,0,0.0
29,0.3,1.1189734666661622,0,0.0
30,0.3,1.2617804333332334,0,0.0
31,0.3,1.3682318666674576,0,0.0
32,0.3,1.4711389000002129,0,0.0
33,0.3,1.6388555666666822,0,0.0
34,0.3,1.7922181333332787,0,0.0
35,0.3,1.9225098000002088,0,0.0
36,0.3,2.0911415666664843,0,0.0
37,0.3,2.295805499999896,0,0.0
38,0.3,2.4762486666666916,0,0.0
39,0.3,2.6956903333335447,0,0.0
40,0.3,2.8895984000001818,0,0.0
41,0.3,3.1191054333328103,0,0.0
42,0.3,3.319208333333042,0,0.0
43,0.3,3.605207033333239,0,0.0
44,0.3,3.8460847333330626,0,0.0
45,0.3,4.088031999999823,0,0.0
46,0.3,4.398356999999938,0,0.0
47,0.3,4.713379199999797,0,0.0
48,0.3,4.958209699999827,0,0.0
49,0.3,5.270223566666132,0,0.0
50,0.3,5.6128985666667575,0,0.0
1,0.35,0.000613866666535993,0,0.0
2,0.35,0.0012110666666842462,0,0.0
3,0.35,0.002237466666699106,0,0.0
4,0.35,0.004498600000128287,0,0.0
5,0.35,0.007952833333272716,0,0.0
6,0.35,0.012933400000865921,0,0.0
7,0.35,0.019074866666457524,0,0.0
8,0.35,0.0286916999999202,0,0.0
9,0.35,0.04162369999995974,0,0.0
10,0.35,0.05654436666648147,0,0.0
11,0.35,0.07250139999968042,0,0.0
12,0.35,0.09579583333353033,0,0.0
13,0.35,0.11829036666644772,0,0.0
14,0.35,0.14483056666669825,0,0.0
15,0.35,0.18375553333302244,0,0.0
16,0.35,0.21837206666634282,0,0.0
17,0.35,0.26627216666691805,0,0.0
18,0.35,0.3122762666664632,0,0.0
19,0.35,0.3693707999995392,0,0.0
20,0.35,0.4332654000001194,0,0.0
21,0.35,0.5032249666665933,0,0.0
22,0.35,0.5774458000000019,0,0.0
23,0.35,0.6479971999998687,0,0.0
24,0.35,0.7496472000002067,0,0.0
25,0.35,0.8432582666661878,0,0.0
26,0.35,0.9496418333336957,0,0.0
27,0.35,1.0602249333331315,0,0.0
28,0.35,1.1701583666665034,0,0.0
29,0.35,1.2951222666671924,0,0.0
30,0.35,1.4338251666671908,0,0.0
31,0.35,1.5708139333329523,0,0.0
32,0.35,1.7213680000002303,0,0.0
33,0.35,1.862818033333132,0,0.0
34,0.35,2.048734733333646,0,0.0
35,0.35,2.2670026333334667,0,0.0
36,0.35,2.4692055666662327,0,0.0
37,0.35,2.6195889333334796,0,0.0
38,0.35,2.8945070333333454,0,0.0
